"severity","message","location","rule"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:340:31","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:399:33","use_build_context_synchronously"
"warning","Dead code","lib\screens\settings_screen.dart:515:9","dead_code"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:868:33","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:905:35","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:2056:29","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:2115:31","use_build_context_synchronously"
"warning","The declaration '_openSupportPortal' isn't referenced","lib\screens\settings_screen.dart:2203:16","unused_element"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:3093:32","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:3099:11","use_build_context_synchronously"
"warning","The value of the local variable 'prefs' isn't used","lib\screens\settings_screen.dart:3173:15","unused_local_variable"
"info","Don't use 'BuildContext's across async gaps","lib\screens\settings_screen.dart:3174:45","use_build_context_synchronously"
"info","Unnecessary use of 'toList' in a spread","lib\screens\support_screen.dart:87:22","unnecessary_to_list_in_spreads"
"info","Dangling library doc comment","lib\services\ai_diet_menu_service.dart:1:1","dangling_library_doc_comments"
"info","The local variable '_pickTopItems' starts with an underscore","lib\services\ai_diet_menu_service.dart:127:18","no_leading_underscores_for_local_identifiers"
"warning","The '!' will have no effect because the receiver can't be null","lib\services\ai_diet_menu_service.dart:330:19","unnecessary_non_null_assertion"
"warning","The '!' will have no effect because the receiver can't be null","lib\services\ai_diet_menu_service.dart:395:19","unnecessary_non_null_assertion"
"warning","The '!' will have no effect because the receiver can't be null","lib\services\ai_diet_menu_service.dart:460:21","unnecessary_non_null_assertion"
"warning","The '!' will have no effect because the receiver can't be null","lib\services\ai_diet_menu_service.dart:525:19","unnecessary_non_null_assertion"
"warning","The value of the field '_notificationTaskName' isn't used","lib\services\background_task_service.dart:17:23","unused_field"
"info","'isInDebugMode' is deprecated and shouldn't be used. Use WorkmanagerDebug handlers instead. This parameter has no effect","lib\services\background_task_service.dart:24:9","deprecated_member_use"
"warning","The value of the local variable 'cloudSyncService' isn't used","lib\services\background_task_service.dart:139:11","unused_local_variable"
"info","The import of 'dart:typed_data' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/foundation.dart'","lib\services\cloud_sync_service.dart:3:8","unnecessary_import"
"info","Use the 'is!' operator rather than negating the value of the 'is' operator","lib\services\cloud_sync_service.dart:91:31","prefer_is_not_operator"
"info","Use the 'is!' operator rather than negating the value of the 'is' operator","lib\services\cloud_sync_service.dart:137:31","prefer_is_not_operator"
"info","Use interpolation to compose strings and values","lib\services\cloud_sync_service.dart:200:44","prefer_interpolation_to_compose_strings"
"info","Use interpolation to compose strings and values","lib\services\cloud_sync_service.dart:201:44","prefer_interpolation_to_compose_strings"
"warning","Unnecessary type check; the result is always 'true'","lib\services\cloud_sync_service.dart:368:11","unnecessary_type_check"
"warning","Unnecessary type check; the result is always 'false'","lib\services\cloud_sync_service.dart:495:11","unnecessary_type_check"
"warning","Unnecessary type check; the result is always 'false'","lib\services\cloud_sync_service.dart:606:11","unnecessary_type_check"
"warning","Unnecessary type check; the result is always 'false'","lib\services\cloud_sync_service.dart:708:11","unnecessary_type_check"
"warning","Unnecessary type check; the result is always 'false'","lib\services\cloud_sync_service.dart:808:11","unnecessary_type_check"
"info","Dangling library doc comment","lib\services\email_config.dart:1:1","dangling_library_doc_comments"
"info","The private field _firebaseEnabled could be 'final'","lib\services\enhanced_analytics_service.dart:18:8","prefer_final_fields"
"warning","The value of the field '_firebaseEnabled' isn't used","lib\services\enhanced_analytics_service.dart:18:8","unused_field"
"info","The private field _localOnlyEnabled could be 'final'","lib\services\enhanced_analytics_service.dart:19:8","prefer_final_fields"
"info","The import of 'dart:typed_data' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/foundation.dart'","lib\services\export_service.dart:13:8","unnecessary_import"
"info","'dart:html' is deprecated and shouldn't be used. Use package:web and dart:js_interop instead","lib\services\export_service_web_impl.dart:2:1","deprecated_member_use"
"info","Don't use web-only libraries outside Flutter web plugins","lib\services\export_service_web_impl.dart:2:1","avoid_web_libraries_in_flutter"
"warning","Unused import: 'dart:typed_data'","lib\services\export_service_web_impl.dart:3:8","unused_import"
"warning","The value of the local variable 'anchor' isn't used","lib\services\export_service_web_impl.dart:12:9","unused_local_variable"
"warning","The value of the local variable 'anchor' isn't used","lib\services\export_service_web_impl.dart:25:9","unused_local_variable"
"warning","Unused import: 'dart:convert'","lib\services\fhir_service.dart:1:8","unused_import"
"info","The import of 'package:flutter/material.dart' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/foundation.dart'","lib\services\messaging_service.dart:3:8","unnecessary_import"
"warning","The value of the local variable 'todayStr' isn't used","lib\services\notification_service.dart:208:13","unused_local_variable"
"info","Use interpolation to compose strings and values","lib\services\notification_service.dart:256:18","prefer_interpolation_to_compose_strings"
"warning","The left operand can't be null, so the right operand is never executed","lib\services\payment_service.dart:145:69","dead_null_aware_expression"
"info","Don't use 'BuildContext's across async gaps","lib\services\payment_service.dart:261:15","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\services\payment_service.dart:277:11","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\services\payment_service.dart:289:11","use_build_context_synchronously"
"info","Don't use 'BuildContext's across async gaps","lib\services\payment_service.dart:298:9","use_build_context_synchronously"
"warning","The value of the field '_apiKeyStorageKey' isn't used","lib\services\security_service.dart:20:23","unused_field"
"info","Unnecessary braces in a string interpolation","lib\services\web_database_helper.dart:538:30","unnecessary_brace_in_string_interps"
"info","'opacity' is deprecated and shouldn't be used. Use .a","lib\utils\color_compat.dart:7:25","deprecated_member_use"
"info","Don't use 'BuildContext's across async gaps","lib\utils\error_handler.dart:229:7","use_build_context_synchronously"
"info","The import of 'dart:typed_data' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/foundation.dart'","lib\utils\firestore_encryption.dart:2:8","unnecessary_import"
"info","Angle brackets will be interpreted as HTML","lib\utils\firestore_encryption.dart:13:42","unintended_html_in_doc_comment"
